Unnamed: 0,groupID,featureID,exonBaseMean,dispersion,stat,pvalue,padj,untreated,treated,log2fold_treated_untreated,genomicData.seqnames,genomicData.start,genomicData.end,genomicData.width,genomicData.strand,countData.PW1_2,countData.EDO_2,countData.PW1_1,countData.PW1_3,countData.EDO_3,countData.EDO_1,gene_id,is_significant
ENSG00000049246.14:E004,ENSG00000049246.14,E004,74.68983728684495,0.0083951191336135,2260.9794985637022,0.0,0.0,15.802999713096114,14.59111283812399,-0.2331581395943009,chr1,7784703,7785005,303,+,119,43,89,121,56,44,ENSG00000049246,False
ENSG00000049246.14:E003,ENSG00000049246.14,E003,23.937408616022008,0.012925202816214,2163.07612044316,0.0,0.0,8.887208811795745,8.376493242435174,-0.171473199548835,chr1,7784654,7784702,49,+,43,11,31,29,17,19,ENSG00000049246,False
ENSG00000049246.14:E006,ENSG00000049246.14,E006,101.19341553980291,0.0009020129355277,8015.820767098477,0.0,0.0,18.009999148515618,17.66278134674843,-0.0571592007128485,chr1,7786721,7786836,116,+,173,75,111,147,63,75,ENSG00000049246,False
ENSG00000049246.14:E005,ENSG00000049246.14,E005,98.47967743676486,0.0042815039419699,3364.65383100266,0.0,0.0,18.32246817443763,16.66912308993895,-0.2774868589791408,chr1,7785441,7785586,146,+,182,73,109,156,59,57,ENSG00000049246,False
ENSG00000049246.14:E007,ENSG00000049246.14,E007,145.81918538333176,0.0009407904270209,6895.045185763804,0.0,0.0,21.04663132439407,21.59635525828955,0.0762641982813772,chr1,7788045,7788246,202,+,196,105,170,225,95,121,ENSG00000049246,False
ENSG00000049246.14:E008,ENSG00000049246.14,E008,50.193232897169565,0.0018788510779698,6787.8286018391145,0.0,0.0,12.516716044661166,12.74501728133322,0.0526153287817319,chr1,7793957,7793959,3,+,64,37,56,86,31,42,ENSG00000049246,False
ENSG00000049246.14:E010,ENSG00000049246.14,E010,148.78638809173853,0.0006182855398999,8044.045363811777,0.0,0.0,21.768111086825684,21.159110386916893,-0.0839566525720334,chr1,7798525,7798673,149,+,214,101,177,243,87,120,ENSG00000049246,False
ENSG00000049246.14:E009,ENSG00000049246.14,E009,78.31772356933621,0.0068905567253634,2585.5406736247696,0.0,0.0,15.809685309991297,15.588412267968865,-0.0412239674117262,chr1,7793960,7794008,49,+,95,56,94,139,47,62,ENSG00000049246,False
ENSG00000049246.14:E013,ENSG00000049246.14,E013,72.05857926692833,0.0008050433026738,9215.91851511042,0.0,0.0,14.614518071249677,15.890610395378957,0.2446527530067763,chr1,7803692,7803848,157,+,104,64,75,103,40,68,ENSG00000049246,False
ENSG00000049246.14:E014,ENSG00000049246.14,E014,10.870551809895256,0.0052989896045092,4513.891892885402,0.0,0.0,5.456131148332901,6.566333373790201,0.5354873996452336,chr1,7803849,7803958,110,+,18,10,7,14,9,10,ENSG00000049246,True
ENSG00000049246.14:E011,ENSG00000049246.14,E011,109.16347877321316,0.0005022952941688,9642.054336183628,0.0,0.0,18.85517287758651,18.099638083229564,-0.1202257301632112,chr1,7801113,7801191,79,+,168,82,128,177,58,84,ENSG00000049246,False
ENSG00000049246.14:E012,ENSG00000049246.14,E012,110.8502514962458,0.0005583364695811,9291.503220402015,0.0,0.0,18.438352222594915,19.100388432402667,0.1037662029139392,chr1,7803047,7803153,107,+,160,91,119,173,62,97,ENSG00000049246,False
ENSG00000049246.14:E015,ENSG00000049246.14,E015,47.63430463364927,0.0156779834541967,1559.206203408366,0.0,0.0,12.15685719479538,12.766539836887231,0.1424088231005313,chr1,7808893,7808998,106,+,75,36,41,80,22,53,ENSG00000049246,False
ENSG00000049246.14:E016,ENSG00000049246.14,E016,19.653973626564195,0.0034634146612306,5529.649707781494,0.0,0.0,8.192200472231036,7.795424264643231,-0.1437544030013695,chr1,7809893,7810021,129,+,34,16,20,34,6,19,ENSG00000049246,False
ENSG00000049246.14:E020,ENSG00000049246.14,E020,65.48342776976013,0.001050526688417,8452.905447735224,0.0,0.0,14.117533741751942,14.949906713304586,0.1672291275097075,chr1,7820115,7820239,125,+,97,64,67,99,38,50,ENSG00000049246,False
ENSG00000049246.14:E019,ENSG00000049246.14,E019,48.719997519566135,0.0011082887675275,8781.240059938362,0.0,0.0,12.361083112152954,12.511899098174297,0.0352910229087672,chr1,7819285,7819420,136,+,68,39,55,78,31,36,ENSG00000049246,False
ENSG00000049246.14:E027,ENSG00000049246.14,E027,78.69374223585456,0.0020860979884625,5753.095884850983,0.0,0.0,15.051239892581693,16.701568030602203,0.3043856400026028,chr1,7830006,7830161,156,+,122,64,83,94,55,71,ENSG00000049246,False
ENSG00000049246.14:E028,ENSG00000049246.14,E028,73.55821736209855,0.0044656615845281,3617.784293976512,0.0,0.0,15.700911218181488,14.696324341989651,-0.1932241027551686,chr1,7835762,7835945,184,+,132,55,92,101,34,58,ENSG00000049246,False
