Unnamed: 0,groupID,featureID,exonBaseMean,dispersion,stat,pvalue,padj,untreated,treated,log2fold_treated_untreated,genomicData.seqnames,genomicData.start,genomicData.end,genomicData.width,genomicData.strand,countData.PW1_2,countData.EDO_2,countData.PW1_1,countData.PW1_3,countData.EDO_3,countData.EDO_1,gene_id,is_significant
ENSG00000197386.12:E057,ENSG00000197386.12,E057,106.81566987697298,0.0053562494178666,6541.927892445683,0.0,0.0,19.028034483179084,17.79912107316366,-0.1962504492890628,chr4,3225661,3225743,83,+,131,105,110,128,92,82,ENSG00000197386,False
ENSG00000197386.12:E058,ENSG00000197386.12,E058,125.32103858357652,0.000620468209106,32069.15579291833,0.0,0.0,20.89495853483305,18.93556950745085,-0.2903323021675676,chr4,3228615,3228745,131,+,161,111,125,164,102,105,ENSG00000197386,False
ENSG00000197386.12:E059,ENSG00000197386.12,E059,124.28206401231732,0.0131773796642314,2816.182325568704,0.0,0.0,20.943661615293564,18.821707637877694,-0.314957602055439,chr4,3228880,3229009,130,+,150,97,122,177,116,95,ENSG00000197386,False
ENSG00000197386.12:E060,ENSG00000197386.12,E060,143.9593202129997,0.0004941632197052,36116.61839861649,0.0,0.0,22.020394227506387,20.57710060114212,-0.2004981815066617,chr4,3229887,3230042,156,+,171,135,144,186,115,127,ENSG00000197386,False
ENSG00000197386.12:E061,ENSG00000197386.12,E061,157.0180713676978,0.0015260639211372,16817.895826625092,0.0,0.0,22.7533259317926,21.696409599982616,-0.1409825909347528,chr4,3233163,3233353,191,+,192,153,163,179,121,146,ENSG00000197386,False
ENSG00000197386.12:E062,ENSG00000197386.12,E062,129.97123230118592,0.0027340123714287,11041.990930202875,0.0,0.0,21.125745321002228,19.55218864662254,-0.228444899770313,chr4,3235284,3235398,115,+,173,132,138,147,89,119,ENSG00000197386,False
ENSG00000197386.12:E063,ENSG00000197386.12,E063,185.6419021062195,0.0038918690061208,7618.606065230551,0.0,0.0,24.82797916209037,23.5148059742109,-0.1618440408603634,chr4,3235565,3235778,214,+,239,194,188,210,145,156,ENSG00000197386,False
ENSG00000197386.12:E064,ENSG00000197386.12,E064,155.0373900155502,0.0024823366534465,11557.054537433509,0.0,0.0,22.46161411847569,21.69752561644381,-0.102548719805025,chr4,3236149,3236254,106,+,163,156,163,192,119,145,ENSG00000197386,False
ENSG00000197386.12:E065,ENSG00000197386.12,E065,191.15356484809595,0.0024251845375429,11248.499363555677,0.0,0.0,25.42142449122167,23.565846329701884,-0.2259233924087746,chr4,3238447,3238609,163,+,211,185,208,249,137,176,ENSG00000197386,False
ENSG00000197386.12:E002,ENSG00000197386.12,E002,231.74628799257547,0.0008535410510457,23681.0577975183,0.0,0.0,26.981876995787133,26.89374524230749,-0.0098171383664507,chr4,3086939,3087022,84,+,298,234,195,270,174,247,ENSG00000197386,False
ENSG00000197386.12:E003,ENSG00000197386.12,E003,308.8045586099815,0.0011829627338296,17511.89997779188,0.0,0.0,31.180658631473733,30.699438897164043,-0.0472370614875519,chr4,3099274,3099394,121,+,399,308,258,376,225,331,ENSG00000197386,False
ENSG00000197386.12:E004,ENSG00000197386.12,E004,328.3400614820505,0.0012125223745427,16926.27144549664,0.0,0.0,31.634675165084477,31.931326079461456,0.0284242470821212,chr4,3103824,3103883,60,+,415,332,275,374,253,353,ENSG00000197386,False
ENSG00000197386.12:E005,ENSG00000197386.12,E005,283.6077511720251,0.0016543235533582,13862.9440878787,0.0,0.0,29.73034687068116,29.49310093463933,-0.0242315328010818,chr4,3105357,3105436,80,+,356,273,237,341,243,275,ENSG00000197386,False
ENSG00000197386.12:E006,ENSG00000197386.12,E006,285.83174358170174,0.0003109032085015,41898.72050769937,0.0,0.0,30.2963207928465,29.277169191373247,-0.1035461685741498,chr4,3107285,3107423,139,+,366,276,254,352,211,295,ENSG00000197386,False
ENSG00000197386.12:E007,ENSG00000197386.12,E007,261.4210193179733,0.0002371415257572,48675.18833175872,0.0,0.0,28.926183400098356,28.08585288912468,-0.0888657852827021,chr4,3115304,3115445,142,+,319,257,239,324,195,265,ENSG00000197386,False
ENSG00000197386.12:E008,ENSG00000197386.12,E008,294.4852751781839,0.0004039038348176,36158.423294788045,0.0,0.0,30.265690796362776,30.01738097408264,-0.024956722872071,chr4,3116085,3116263,179,+,348,285,270,351,219,320,ENSG00000197386,False
ENSG00000197386.12:E017,ENSG00000197386.12,E017,118.83680303836256,0.0033154911128644,9611.448359616174,0.0,0.0,19.735846565322987,19.02723149146692,-0.1076952443123175,chr4,3132562,3132720,159,+,133,111,129,135,89,121,ENSG00000197386,False
ENSG00000197386.12:E018,ENSG00000197386.12,E018,112.76068294075914,0.003826281462887,8627.325633551509,0.0,0.0,18.47169825465477,19.288047651881783,0.1272391177093981,chr4,3132814,3132911,98,+,115,118,111,121,80,133,ENSG00000197386,False
ENSG00000197386.12:E019,ENSG00000197386.12,E019,135.5930407718588,0.004611045009699,7095.148626081329,0.0,0.0,20.21901570598212,21.183937396239717,0.1376990002242237,chr4,3134401,3134540,140,+,151,157,130,136,93,152,ENSG00000197386,False
ENSG00000197386.12:E020,ENSG00000197386.12,E020,121.8613464074603,0.0020204701390891,14202.17685447423,0.0,0.0,19.304491334871955,19.99764210603459,0.1039582324187327,chr4,3135904,3135967,64,+,146,126,110,126,89,141,ENSG00000197386,False
ENSG00000197386.12:E021,ENSG00000197386.12,E021,208.8649408136738,0.00032956418886,42910.34613215908,0.0,0.0,25.10697591236746,26.06211912363611,0.1116165530483463,chr4,3136226,3136326,101,+,232,240,175,250,153,221,ENSG00000197386,False
ENSG00000197386.12:E022,ENSG00000197386.12,E022,243.4413351228716,0.0012325637909732,18065.626040191924,0.0,0.0,26.548207137948737,28.45788074559337,0.2087666937253569,chr4,3140510,3140656,147,+,253,299,190,294,188,251,ENSG00000197386,False
ENSG00000197386.12:E023,ENSG00000197386.12,E023,269.036607607204,0.0003146829189743,42195.65485880017,0.0,0.0,28.11099284805158,29.576668134015705,0.153357038451757,chr4,3142766,3142886,121,+,283,297,213,335,213,289,ENSG00000197386,False
ENSG00000197386.12:E024,ENSG00000197386.12,E024,176.54583963743548,0.0003312268447467,43863.28695880987,0.0,0.0,22.934260604885765,24.03572218995103,0.1394679024522869,chr4,3145152,3145228,77,+,194,184,151,200,144,191,ENSG00000197386,False
ENSG00000197386.12:E025,ENSG00000197386.12,E025,213.1090611662497,0.0003084367779821,44306.7832401302,0.0,0.0,25.238411098212023,26.23319485809452,0.1156139435339618,chr4,3146797,3146948,152,+,241,220,185,238,172,230,ENSG00000197386,False
ENSG00000197386.12:E026,ENSG00000197386.12,E026,223.4366092587294,0.0003931528102872,38615.17022007262,0.0,0.0,26.86063151100365,25.88739673061417,-0.1105648332095521,chr4,3148005,3148207,203,+,258,208,219,278,169,228,ENSG00000197386,False
ENSG00000197386.12:E027,ENSG00000197386.12,E027,184.21614780006817,0.002228387671975,12125.996767482397,0.0,0.0,24.440917445484672,23.944529556961182,-0.0611150069646768,chr4,3154293,3154419,127,+,221,189,150,251,123,204,ENSG00000197386,False
ENSG00000197386.12:E028,ENSG00000197386.12,E028,203.508584184865,0.0006176649954428,29999.331722584,0.0,0.0,25.23399531170216,25.436817890574105,0.0239160178404684,chr4,3157072,3157199,128,+,237,215,168,259,141,228,ENSG00000197386,False
ENSG00000197386.12:E029,ENSG00000197386.12,E029,236.0414772227024,0.0003438317067109,41158.06610144617,0.0,0.0,26.66699393280956,27.63008978234905,0.1065224113171865,chr4,3160282,3160392,111,+,283,259,181,281,187,247,ENSG00000197386,False
ENSG00000197386.12:E030,ENSG00000197386.12,E030,248.6158269933527,0.0002482109507675,48086.06787553801,0.0,0.0,27.33453305125585,28.271102717985087,0.1013404973641503,chr4,3172320,3172397,78,+,285,267,202,297,193,267,ENSG00000197386,False
ENSG00000197386.12:E031,ENSG00000197386.12,E031,337.5919757854511,0.0009464118979017,20180.958876627457,0.0,0.0,31.727587861816037,32.68812574382443,0.0909546303983486,chr4,3172908,3173131,224,+,381,356,258,433,264,366,ENSG00000197386,False
ENSG00000197386.12:E032,ENSG00000197386.12,E032,180.1952456021736,0.0007781598351775,26423.705917425486,0.0,0.0,23.273721536750827,24.325503204132644,0.1315181937580476,chr4,3174721,3174799,79,+,192,204,138,232,147,181,ENSG00000197386,False
ENSG00000197386.12:E033,ENSG00000197386.12,E033,216.94238263383585,0.0006677883036056,28284.71346777968,0.0,0.0,25.209581580910736,26.802967386408117,0.1834261884600208,chr4,3174946,3175107,162,+,221,260,179,262,165,226,ENSG00000197386,False
ENSG00000197386.12:E034,ENSG00000197386.12,E034,131.05241412268836,0.0005043762362658,36127.813501082455,0.0,0.0,19.575050886983064,21.16858799101007,0.230991635285175,chr4,3177332,3177387,56,+,138,156,104,152,96,148,ENSG00000197386,False
ENSG00000197386.12:E035,ENSG00000197386.12,E035,146.73061115849524,0.002019680723131,13770.920339394872,0.0,0.0,20.321092831534088,22.70431705859912,0.3281437801741926,chr4,3178298,3178446,149,+,153,180,110,162,103,180,ENSG00000197386,False
ENSG00000197386.12:E036,ENSG00000197386.12,E036,145.22208864626162,0.0076589509075387,4463.7863443261,0.0,0.0,20.53777282181133,22.315647387768053,0.2456199312106397,chr4,3180515,3180651,137,+,165,182,121,146,93,175,ENSG00000197386,False
ENSG00000197386.12:E037,ENSG00000197386.12,E037,178.7754375171289,0.0003390113461815,43284.32387314236,0.0,0.0,22.56056562021422,24.694806004867218,0.2688326910780239,chr4,3182354,3182470,117,+,184,201,140,203,142,206,ENSG00000197386,False
ENSG00000197386.12:E038,ENSG00000197386.12,E038,192.46286275936745,0.0003904608087283,39706.557176929135,0.0,0.0,24.045477325532687,24.983788082726733,0.1141117664596755,chr4,3186597,3186719,123,+,208,195,154,239,163,204,ENSG00000197386,False
ENSG00000197386.12:E039,ENSG00000197386.12,E039,174.87034532603556,0.0007505783665024,27177.583003980977,0.0,0.0,23.34226217980597,23.560943624365564,0.0277219853612402,chr4,3187651,3187886,236,+,198,198,149,218,143,157,ENSG00000197386,False
ENSG00000197386.12:E040,ENSG00000197386.12,E040,183.73512043768807,0.0003878001681076,40069.07428457389,0.0,0.0,24.334933197637696,23.722581302909475,-0.0758764412463115,chr4,3188951,3189093,143,+,225,187,161,230,151,167,ENSG00000197386,False
ENSG00000197386.12:E041,ENSG00000197386.12,E041,216.0742567361587,0.0012368788401836,18451.490309278604,0.0,0.0,26.838398336172645,25.198965273667312,-0.1886467190902809,chr4,3199732,3199939,208,+,269,210,194,291,178,183,ENSG00000197386,False
